usernames,reviews,ratings,Polarity,Subjectivity,Sentiment Type
Thakur Surya Pratap Singh,Awesome,5.0,1.0,1.0,Positive
bijaya mohanty,Just go for it Amazing one Beautiful camera with super fast processor,5.0,0.5,0.79,Positive
Akshay Meena,So beautiful so elegant just a vowww,5.0,0.68,1.0,Positive
Nikhil Kumar,Switch from OnePlus to iPhone I am stunned with camera performance Everything is perfect on iPhone 15,5.0,1.0,1.0,Positive
Ajin V,High quality camera,5.0,0.16,0.54,Positive
Mousam Guha Roy,Very nice,4.0,0.78,1.0,Positive
Flipkart Customer,Awesome photography experience Battery backup is good Display is much better than 14 version,5.0,0.73,0.7,Positive
Arunji Govindaraju,Awesome product very happy to hold this Better In hand feel matte finish Good camera Brighter screen with Dynamic Island USB C great battery life 60Hz display is a dealbreaker for some Its not much noticeable Thank u Flipkart for the best deal and quick delivery,5.0,0.58,0.56,Positive
Prithivi Boruah,Camera Quality Is Improved Loving It,5.0,0.6,0.95,Positive
Rahul Shedge,Totally happy Camera 5 Battery 5 Display 5 Design 5,5.0,0.8,1.0,Positive
Kriti Customer,Just loved the product colour design is wow and camera is amazing just clicked first picture of my grandmother in portrait mode and results r here in front of you guys,5.0,0.41,0.76,Positive
Rishabh Jha,Awesome,5.0,1.0,1.0,Positive
Saurabh Gothwad,Simply premium,5.0,0.0,0.36,Negative
CHETAN TILWALIA,Nice,5.0,0.6,1.0,Positive
Afzol Hussain,Thanks Flipkart I m glad such a beautiful iPhone 15,5.0,0.39,0.68,Positive
Sheetla Prasad Maurya,Best mobile phone Camera quality is very nice Battery backup is very good Sound quality is amazing,4.0,0.74,0.68,Positive
Talim (sk),I love this phone The camera is amazing its I am so happy,5.0,0.63,0.83,Positive
mohit yadav,Nice,5.0,0.6,1.0,Positive
Raj Singh,for me its 10 out of 10,5.0,0.0,0.0,Negative
Sandip Mandal,Great,5.0,0.8,0.75,Positive
Flipkart Customer,Nice product,4.0,0.6,1.0,Positive
VinodKUMAR VinodKUMAR,Nice phone good,4.0,0.65,0.8,Positive
AYUSH singh,best camera and battery is also very good In love with dynamic Island Type c charging is very fast Overall best phone,5.0,0.52,0.42,Positive
Ankit Verma,Awesome camra quality superb camra,4.0,1.0,1.0,Positive
Suman Jain,Simply Awesome,5.0,1.0,1.0,Positive
SONAL PAL,Awesome phone powerful performance and battery backup are also very good no heating issue,5.0,0.74,0.93,Positive
Nitin Kumar,Very nice product,5.0,0.78,1.0,Positive
Amit Biswas,A Perfect Smartphone,5.0,1.0,1.0,Positive
Flipkart Customer,Using this Iphone 15 from 1month and it has best Camera,5.0,1.0,0.3,Positive
Praveen Kumar,This is my first iphone ever used loving it already this is worth it,5.0,0.38,0.46,Positive
Zeeshan Khan,Awesome quality I am very happy Thank you Flipkart,5.0,1.0,1.0,Positive
Dev Kumar,Camera quality top notch,5.0,0.5,0.5,Positive
